label,sentence
1,"Nemá navíjecí mechanismus na kabel, se kterým je díky jeho délce obtížnější manipulace. K vysavači není žádné příslušenství (jen trubka, jeden nástavec a hadice)"
0,"Výborně vysává, je celkem tichý. Výborně ovladatelný (dobrá kolečka). Skvělá velká hubice na parkety"
0,Dostačující sací výkon (koberce už někdy musí obsluha přidržovat nohou). Možnost dokoupení náhradních dílů
1,"Trochu hlučnější, ale jinak spokojenost"
0,"Velký objem sáčku, velký akční rádius, relativně tichý"
0,Používám ho zejména na vytírání podlahy
0,Silný vysavač s bohatým příslušenstvím
1,"Poněkud nešikovná manipulace s horním dílem, ze kterého vyčnívá hadička při vylévání vysáté vody"
0,"Tichý , výkonný, šikovný, má výdrž, jednoduché čištění !!!"
1,"Malý držák na vysavači pro hadici, překlápí se"
0,"Vhodné použít na stavební odpad po rekonstrukci (suchý jemný i mokrý). Během necelého měsíce použit kromě jiného už třikrát na komplet dům (3 patra + sklep) včetně rekonstrukcí a sací výkon neztrácí. Filtry se dobře čistí. Nasazení příslušenství přímo na vysavač, výměna během dvou sekund i bez vypínání vysavače. Zvládá opravdu vše a dvojitý filtr ho dobře chrání. Po koberci a rovinkách jezdí na kolečkách nadprůměrně dobře (posune bez problémů i malé dítě). Design se líbí dětem (r2-d2 :-) ). Prý se dá dokoupit bohaté příslušenství, my si zatím vystačili se základním"
1,Je třeba čistit často filtr jinak ztrácí tah
0,Jednoduchý systém čištění nádobky bezsáčkového systému
0,Dobrý za rozumnou cenu
0,Velmi dobře vysává i vytírá
1,Chybí navíjení napájecí šňůry
1,Mohl by mí větší sací výkon
0,Kvalitní omyvatelný hepa filtr
1,"Dosti drahé sáčky do vysavače, zabudované štětiny na vysávací tyči se poměrně brzo zničily, rozkládáním tyče na ruční vysávání"
0,"Kvalita od narexu,super dárek"
1,"Nesaje vůbec, koberec vůbec nebere podlahu tak nějak polovicne no nedoporucila bych to"
0,Mokré a suché vysávaní. Bezsáčkový i sáčkovy taky super
0,Jednoduché ovládání i čištění
0,"Vysává do vodního filtru,takže sáčky netřeba nakupovat. Mnoho doplňků k vysavači"
0,Snadné ovládání a výdrž baterie
0,"Zkusil jsem ho jednou po vánočních svátcích a splnil přesně co jsme potřebovali. vytírá na jedničku, ovzduší je velmi příjemné jelikož není cítít vůbec žádný zápach, po hodině aktivního vytírání jel pořád na 100%"
1,"Ocenila bych trochu delší hadici, abych mohla vysavat take policky a nedrzet vysavac v ruce"
1,Neni kovove trubicky v vysavvace
0,"Mám ho velmi krátkou dobu, prozatím vše v pořádku"
1,Trošičku bojuji s vysáváním koberce s příslušným nástavcem
1,Zatím jsem žádnou nenašla
0,"Velmi příznivá cena k výkonu a funkcím,nepotřebujete sáčky a tím ušetříte další peníze, jednoduchá obsluha"
0,Supr se s ním pracuje
0,Použivam na vysávání v kuchyni a co jsem očekával ti splňuje
1,"Příšerná hubice, navíc s defomovanou gumou (stírátkem)"
1,"Málo saje, délka nabíjení je delší než v popisu výrobku"
0,"Vysoký výkon díky el. rotačnímu kartáči. Vysaje i to co si myslíte, že doma nemáte :-)"
0,"Vždy po ruce, bezproblémový, velmi dobré ovádání, pro každodenní úklid"
0,"Sací výkon je super a hned po prvním vysávání byl jasně vidět rozdíl, rozhodně doporučuji i pro ty co mají domácí zvířata na chlupy"
0,"Vyborne saje,vyborna je u toho zasuvka. super cena"
0,Jsem spokojená neměnila bych za jiný
0,"Vydrží déle, než se uvadí"
1,Připojení a odpojení hadice jde velmi ztuha
0,Tichý - opravdu tichý. Akce na záruky 6let
0,"Koupili jsme domů, naprostá spokojenost s profesionálním strojem vítečné kvality!"
0,Na mrňouse docela silák
1,"Podlahová hubice-chybí drážka,aby se nepřisávalo moc k podlaze"
1,Ještě o trošičku lepší sací výkon
0,Různé nástavce a kartáče
0,Rychlé vyčištění po použití. Možnost použití rychleschnoucího přípravku na čištění
1,Bez držáku na zeď
0,"Pěkný vzhled, lehký vysavač"
1,Plastové trubky dobře nedrží pohromadě při vysávání
0,Vysavač bez sáčku - rychlé vyčištění - hygienické - všechny omyvatelné části
1,"Zasouvání šňůry není na tlačítko, ale šňůra  musí se vytáhnout celá a po protiodporu se zasune celá"
0,"Lehky pristroj, perfektni vykon"
0,Velký akční rádius(10 m)
0,"Lehký výrobek na ruční vysávání za velmi příznivou cenu. Možnost nabíjení v držáku, který je možný připevnit na zeď nebo do kuchyňské linky; možnost dobíjení i samotného přístroje;. Možnost i vysávání vody rozlité na podlaze;. Snadné čištění přístroje a filtru bez použití nářadí;"
1,"Odejmutí přiručního vysavače je větší horor než vyplňování daňového přiznání. trvalo mi hodinu a půl, než jsem na to přišel, teď už to mám v ruce a jde to v pohodě. Zpracování působí poněkud lacině (ono totiž je laciné). máme ho chvilku a uz vrže hubice při otáčení. ale co čekat za ty prachy :). Zatím jsem nepřišel na to, jak sundat hubici. tlačítko tam sice je, ale zdá se mi, ze nejde úplně domáčknout a bojím se použít sílu"
0,Splnil zcela moje očekávání a to není málo
1,Horší manipulace s vysavačem
1,"Chybí mně,že balení nemá mini hubici na čalounění"
0,Vysava lepe nez stavajici vysavac do zasuvka
0,Je to dobrý vysavač na drobné vysávání
0,"Má velký sací tah s možností regulace. Výsuvné štětiny na hadici pro vysátí prachu ze soklů apod. Máme ho zhruba 3 týdny, zatím dobrý"
0,Opravdu výrazně tichý  vysavač. Možnost dokoupení dalšího příslušenství
1,V prostoru vysavače se nedá uložit přídavná hubice a kartáček
1,"Na  tvrdý povrch podlahy se přisaje a vysávání je namáhavé, tvrdý povrch lze vysávat jen turbokartáčem, který je ovšem velice dobrý a výkonný"
0,"Super vysávač, nízka hmotnosť, veľmi dobrý sací výkon, súčasťou príslušenstva je aj špecialna kefa na sedačky - čalúnený nábytok na chlpy psov a mačiek"
1,"Moc velký sací výkon na koberci,nelze nastavit"
1,Mohl by být účinnější na koberce
0,Kvalitní výrobek s dotaženými detaily
1,Zatím jsem na nic nepřišla
0,Moc spokojen kvalita za rozumnou cenu
1,"Mame kratce, zatim nic, co by vadilo"
1,Vytknul bych pouze složitější čistění po použití. Přívodní kabel by mohl být svinovací a ne takto volný
1,"Neúčinná filtrace, málo robustní provedení pro kategorii průmyslový, i drobné nečistoty jako listí ucpává přechod z hubice do hadice sání"
0,"Skvěle vysává prach, drobné nečistoty, psí chlupy i vlasy"
0,Mám chopn (plicní nedostatečnost) a tak jej doporučuji všem stejně postiženým a ostatním alergikům. pro koupi rozhodoval výkon a cena
1,Zatím o žádné nevím
1,"Nepříliš dobře uložené trubky v držáku na vysavači, neustále vypadávají"
0,"Jedním tahem 2 činnosti. Vyčistí i to,o kterém si myslíte že je čisté. Bez chyby,koupil jsem to jako dárek a určitě koupím ještě pro sebe. Sání vepředu a vzadu. Musíte vidět,aby jste poznali co dokáže,jinak neuvěříte"
0,"Dostatečně dlouhá hadice i šňůra do sítě. Při vysávání se nemusím hrbit. Není tak hlučný, jako náš starý vysavač"
0,"Zatím používám krátce, ale dobrý"
1,Univerzální hubice je nepoužitelná
0,Skvělý dělník na stavby
0,Snadno lze vysypat nádobu s prachem
0,"Vynikající výkon,dobrá manipulace,koberce stačí jen na polovinu výkonu"
1,"Malá kolečka, dělá jim problém přejet šňůru"
0,Další příslušenství v ceně
1,Můj starý lux měl kromě manuální regulace sacího výkonu také elektronickou regulaci - byla účinější než manuální 
0,Bezsáčkové vysávání jen se to vyleje do záchodu tak úspora za sáčky
0,Na plný výkon vysaje i koberce
1,Pro někoho možná trochu větší vysavač
1,"Box na pevný odpad nejde všechen vysypat dvířkama, ale je třeba oddělat vrchní kryt. ten jde oddělat jednoduše, takže to není problém. Vodní box ba měl jít zavřít po lehkém stisknutí. skutečnost je však taková, že jde hodně těžce. ale po několika použitích se situace zlepšila, takže nakonec ok"
0,"Velká nádoba na nečistoty a vodu. Možnost připojení elektrického nářadí. Lze vysávat jak do sáčku, tak bez sáčků"
0,Plní funkci pro kterou je určen
0,Velmi dobře vysává i psí chlupy. I na vyšší výkon bez problému vysaji celý byt
0,"Turbo kartáč se velmi brzy zanese zvířecími chlupy,takže musím neustále čistit"
1,"Máme problémy vysát kobereček v koupelně, který není trvale připevněn k podlaze, vysavač ho i na nejnižší chod 'vcucává' do sebe"
1,Kolečka by mohla jezdit volněji - celkem tuhá
1,Jen jedna bleděmodrá barva. Hubičky už nemají své místo přímo ve vysavači jako u minulého modelu. Mechanika teleskopické trubky  postrádá záklapky a logiku minulé generace. Zbytečně úzká sací hlavice. Ovládání hlavice na tvrdé podlahy jde dost ztuha
1,"Zatím nevím, ale je to eta, tak budou i nd, mám, odzkoušené"
0,Rozhodl jsem se na základě recenzí. Pere opravdu dobře 
1,Nemám poznatky o negativech
0,"Vždy po ruce, bez šňůry"
1,"Zanáší se nám malá přední kolečka - nechává to potom fleky na umyté podlaze. kolečka se špatně čistí. U umývání je vhodné dodržovat jeden rovný směr, jinak to může být proti světlu vidět"
1,"Horší uložení kabelu - konec kabelu jde jen obtížně zaháknout, vypínače pro motor a čerpadlo nejsou barevně odlišeny, může dojít k přehmátnutí"
0,"Vysavač je opravdu velmi výkonný. málo který vysavač dokáže dokonale vyluxovat koberce, jako tento. Má dostatečné množství přídavných hubic a násadců. Trubky jsou sice teleskopické, ale musí se do sebe pouze zasunout, není tam žádná pojistka, aretace, takže trubky se při vysávání otáčejí a povolují"
1,Nemám zatím nic proti
1,O žádné zatím nevím
0,"Od kärcher máme vysokotlaký čistič a jsme s ním spokojeni, tak jsem zkusila i čistič na koberce a čalounění. obsluha přístroje je lehká"
0,Velmi dobře vysává a s kombinací s turbokartáčem vysává výborně
0,Znovu použitelný prachový sáček s velkým objemem
1,Chybí na přívodním kabelu označení kdy končí návin
1,Těžko se vyndává ruční vysavač
0,Za ty peníze ok
0,Dobrá cena i výrobek
0,"Je při ruce, nepotřebuji šňůru"
1,"Jen trubky jsou strasne forove,hrozne slaboucky plast,nesmi se na ne moc tlacit,jinak bych mela obavy,ze dlouho nevydrzi a prasknou,kdyby byly silnejsi nebo kovove,vubec by to nevadilo"
1,"Byla bych raději, kdyby vysavač neměl rotační kartáč, neboť se na něj namotávají vlasy a ty se pak z něho špatně odstraňují. kartáč také nelze vyjmout (nebo jsme na to nepřišli)"
1,Krátka výdrž batérie po nabití
1,"Možná menší velikost pytlíků, ostatní ukáže čas. Trošku vyšší hluk při max. výkonu"
0,Kapacita zásobníku na nečistoty
0,Supr vysavač vysoký výkon
0,"Super výkon,lehký,spolehlivý,jsem nadšená. rozhodně doporučuji,budete spokojeni.r"
0,"Zatím používáme krátce, ale je opravdu tichý s velkým výkonem"
0,Lehky  a jednoduchy na pouzivani
1,"Nemožnost upravit intenzitu jinak než na rukojeti. Příliš lehký, takže při otočce skoro vždy obrácen vzhůru nohama"
1,Trochu větší na uskladnění než klasické vysavače
0,"Delsi vydrz nez se udava. Da se pridelat na zed, nebo muze stat na pevne plose. Dobre se drzi a snadno se s nim pracuje"
1,"Téměř nic nevysaje (máme papouška, na zemi se věčně válí slupečky od slunečnice,proso), minimální úspěch :-(. Nefunguje jako samostatný lux, toto není z popisu zcela zřejmé. Neluxuje žádné koberce, gauče apod., funguje pouze na tvrdé podlahy. Pokud je dlažba hrubá, zanechává vodu v prohlubních. Krytka čistícího válečku se často otvírá, pokud jedete např. podél zdi, o rozích ani nemluvím"
0,"Velký sací výkon,snado manipulovatelný.tichý"
1,Chtělo by to trochu lepší hubici na vysávání tvrdých podlah
0,"Úspora - bezsáčkový vysavač. Není těžký, dobře se svysavačem manipuluje. Na svůj poměr cena - výkon, je super"
1,Nezjistil jsem žádnou nevýhodu
1,Nádoba nelze vyprázdnit bez podvozku
0,"Plný výkon jen do 10 min, nemá kompatibilní nástavce s jinými vysavači dyson"
0,Lepší bych nenasla v te ceně
0,Příslušenství je součástí dodávky
1,Nelogické vytahování nádoby na prach. Krátká šňůra i hubice!
0,Běží jak má. za mě velká spokojenost
1,Absence madla pro uchopení ve vertikální poloze
1,"Nádoba na smetí není tak velká jak je uvedeno, ale je dostačující. Vysavač byl uložen v malé krabici a proti byla trubka trochu polámaná"
1,"Slabé sání - od toho jsme si slibovala víc, vysátý nepořádek vypadává zpět, musí se často čistit"
1,Za krátkou dobu používání jsem nic negativního nezjistil
0,Poměrně slušný výkon oproti výrobkům v maloobchodě
0,Snadná manipulace a vysávání
0,"Příznivá cena, rychlá komunikace s obchodem, možnost vyzvednutí osobně ihned nebo do druhého dne, pokud není zboží ve skladě v místě vyzvednutí"
1,"Žádné příslušenství (nástavce, hubice apod.). Nádoba na prach se trochu hůř čistí. Snímatelná síťovina okolo prachového filtru není dobře zpracována a štěpí se"
0,"Pěkný design, dobrý výkon, příslušenství"
0,Dobrý výrobek za rozumnou cenu
1,"Menší nádržka na chlupy, ale  s tím se nic neudělá"
1,"Je to šíleně velký přístroj, zbytečně velká nádoba na odpad vody, nestabilní"
1,"Musí se stejným tahem dopředu i zpět a poté teprve začít další tah abyste nevytírali nepovysávanou zem. Kvůli váze se hůř manipuluje s vysavačem. Rohy se špatně čistí. Hlavice se moc neotáčí, občas je manipulace neohrabaná"
0,Délka kabelu a hadice
1,"Zatím jsem max. spokojená, tak mě žádné mínus nenapadá"
1,"Horší manipulace, dost těžký"
1,"Mohl by být v základní výbavě i malý úzký nástavec. Výkon by se mohl regulovat krom trubice i na vysavači. Mohl by obsahovat signalizaci, že je nutné sběrač vyprázdnit"
1,Na koberce je slabý
1,"Guma na boku, která by se měla dát použít na smotanou hadici je krátká, čili spíš na přívodní kabel než na hadici"
0,"Vyborny vysavac, jednoduche cisteni, dobra manipulace, kolecka jezdi az moc rychle. vyborne saje veskery neporadek"
0,"Hledal jsem stojící cyklonový - na kabel!! s turbokartáčem - splňuje, a nejen to ve výbavě má navíc přidanou hadicí s dalšími nástavci i malý turbokartáč na sedačky  - přisvětluje , má 5poloh pracovní výšky, vysává dobře"
0,"Poměrně výkonný, nepřeklápí se, nádoba na prach bez zbytečných záhybů,"
1,"Zapomeňte na vysávání prachu od vrtačky, vrtáte li zeď. zapomeňte na jakékoli vysávání, předěláváte-li byt. všechno je uvedeno v návodu a v případě nedodržení bych to reklamovat nechtěl"
1,"Není to úplně nevýhoda, ale lepší manipulace s vysypáváním by se hodila"
0,Výborně se čistí filtr i nádoba
0,"Obrovký tah - poprvé vysáváme na min výkon :). Jednoduchá manipulace, poměrně malá váha. Malá spotřeba, na nízký výkon vysáváme i když děti spí"
0,Koberce vyčistí průměrně dobře. Křesla a čalouněné židle vyčistí skoro dokonale. Vysaje skoro všechnu vodu
0,Konečně lux který funguje
1,Zabírá víc místa v komoře
0,Za malo penez hodne muziky
1,I po nabití stále svítí 3 led diody. Nevhodné místo pro připojení konektoru od nabíječky. Ruční vysavač bez příslušenství. Prašné čistění a vyprazdnování
1,Dobíjení bez signalizace nabito musí se odhadnout doba nabíjení
0,"Stabilní sací výkon po celou dobu vysávání. Účinná filtrace přes vodu i hepa filtr - hlavní plus (prach se nevrací do místnosti). Celkem jednoduchá obsluha při suchém vysávání. Příprava na mokré vytírání není složitá a časově náročná. Vysavač lze po použití celý vyčistit vč. hepa filtru, následné vysávání je tedy znovu zcela čisté"
0,Přijatelná cena vysavače i náhradních sáčků. Nízká spotřeba el. energie a přitom dobrý sací výkon
0,Super tichý a výkonný. mám doma dvě kočky a tento vysavač si s nepořádkem hravě poradí :-)
0,Lehký a dostatečně výkonný
1,"Není součástí malá hubice na čalounění u mokrého čištění. Tableta uvízne v ústí nádržky,musí se 'popostrčit' dlouhým     předmětem nebo použít tekutý prostředek. Na nádržce není ryska min a max"
1,Asi nedůvěra ke značce sencor
0,Je mobilni    a  po ruce
0,Velmi lehký a pracuje se s ním rychle
0,"Jsem nadšená ,že mám vysavač stále po ruce ,žádné šnůry, žádné sáčky do vysavače,máme psa tak je vysavač stále v provozu :-)"
0,Nastavení sacího výkonu podle ikon
0,Dobře vysává  a je lehký
1,"Proi starému modelu dc-8 ,je nutné opatrnější zacházení"
0,Do firmy pro paní uklízečku
1,"Malý rozsah regulace (na hadici), z hubicí na koberce se skoro nedá pohybovat (přisaje se - nemá malá kolečka)"
0,Sací výkon je velmi dobrý
0,Super na rychle uklizeni drobku a mensich necistot
0,Nehlučný oproti starénu vysavači
1,"Svetelka nabijeni stale sviti - neni poznat, kdy je zcela nabity"
0,Vytírání i vysávání super. Dobré na chlupy zvířat. Vytře i skvrny nad očekávání dobře. Snadné ovládání i manipulace
1,"Možná opatrnější zacházení s cyklonovou jednotkou a filtrem, kdy by mohlo dojít k poškození plastů, které budí dojem větší choulostivosti"
1,"Krátká  výsuvná tyč-pro vysávání dětmi ideální. Pro vysypání nečistot(suti)nelze vyjmout nádobu,musí se vysypat odpad s náklonem celého vysavače 30l-nepraktické. Špatné zasunutí koncovky hadice do  tyče vysavače"
1,Knoflík zapnutí jde dosti ztuha
1,"Velmi špatně se čistí sběrná nádržka. jistě by šla udělat jednodušeji, aby se snadno vymyla"
1,Tento model nemá systém na sekání vlasů. musí se pak čistit ručně. drobné vlasy ok. dlouhé vlasy se motaji dolů na válec
0,"Tichý vysavač, vhodný především na koberce. nádobka na prach je dostatečně velká, vysypávám ji vždy po každém vyluxování. lze ji i vymýt vodou. jsem úklidový maniak a s vysavačem jsem spokojená. mohu doporučit pro vysávání v domě s kočičkou"
1,"Vysouvací hubice nemá aretaci a při vysávání se nechtěně zasouvá, při upevnění držáku na stěnu se vysavač špatně nasazuje a hrozí vypadnutí"
1,"Vysavač je v obchodech,ale náhradní filtry nikde nejsou v prodeji"
1,Krátký kabel a hadice
1,"Nástavce je opravdu nutné pevne zasunout, jinak vypadávají. Zvláštně přidělaná hadice - tímto je vysavač dost neskladný - nevejde se mi nerozložený do skříně. Příliš se přisává k podlaze"
0,"Sací výkon s nasazenou hlavicí. znáte ty reklamy na vysavače, jak se po rozsypaných drobcích přejede jednou a ony jsou fuč? s tímhle vysavačem jsem to reprodukovala doma. Tichý (při nejnižším stupni sání). když jsem ho zapnula, říkala jsem si: ""to se teprve zahřívá? je vůbec zapnutý?"". Na to, jak je tělo vysavače veliké, není nějak extrémně těžké"
0,Poměr cena - výkon-vzhled-zpracování
0,"Sklápěcí konstrukce, úspora místa při nabíjení a odkládání"
0,"Vždy po ruce, když je potřeba"
0,"Je lehoučký,skladný a dobře vysává"
0,"Mam ho kratce, ale zvedat koberec umi. jen me zarazilo, ze je to nemec, ale z rumunska. brr. snura 10m je uzasna, potrebovala by maly drzak, aby se dala omotat. ale na zavadu to neni.jejeden z nejlehcich"
1,"Zpracování nepůsobí nijak drahým dojmem, je to plasťák (krom kovové tyčky u hadice). Čekal jsem, že bude ještě o něco tišší, ale nemám hlukoměr, abych ověřil 62 db, takže kdo ví"
1,Problémy s uplatněním prodloužené záruky
0,Výběr vysavače-prach jde do vody
0,"Kartace na dlažbu,vysavač jede lehce"
1,"U vysávání lina-nejde dostatečně stáhnout výkon a drobky hrne vysavač před sebou,vysunout takové ty zvedací štětinky u hlavice nepomáhá,jsou příliš nízké,pomůže jen otevřít na trubici vzduchovou mezírku"
0,Super velké nádoby sací síla poměr výkon - cena
0,"Velmi výkonný,vcelku tichý a z elektrogarden o 500 kč lacinější než jinde"
0,Opravdu silný sací výkon
1,"Menší nádržka na odpad, složitější čištění hlavního kartáče"
1,Zatím žádnou výhradu nemám
1,Hubice na čištění koberců je hladká - koberec nejde 'vydrbat'
1,Turbokartac je miniauturni a neprilis funkcni. s kocicimi chlupy na sedacce si prilis neporadi
0,Šikovný malý vysavač na všechny povrchy podlah
0,"Rychlé nabíjení, dlouhá výdrž vysávání, možnost čištění kartáče od vlasů - přeřezáním"
1,Zapínání a vypínání pouze přes max výkon. Statická elektřina - z venku se chytá prach
0,Energie ze sítě je výhodou oproti aku bateriím
1,"Cena je vyšší, ale za kvalitu se platí"
1,Poměrně krátký štěrbinový nástavec
1,"Maličkost může zkazit celkový dojem. plastová mřížka vnitřního filtru se přichytává pouze malými pětimilimetrovými výstupky, je velmi obtížné nasadit a stále padá. nedodělek výrobce"
1,"Malý tah, v příslušenství je delší hubice a téměř vůbec v ní není tah, takže vyluxuje sporadicky"
1,Zatím se nic neprojevilo
1,Zásobník na vodu má dost úzké hrdlo
1,"Nedostanu se pořádně pod postel, gauč, atd., jelikož mi v tom brání vystouplá část trupu vysavače. mohla by být větší nádoba na vysátý odpad"
0,Jednoduchá obsluha i čištění
1,Prozatím žádné (uvidíme jak vydrží baterie)
1,"Starší typ byl umístěn v stojanu vertikálně, nový typ vyžaduje držák přišroubovat na stěnu"
1,Pro vylití vody je třeba vyndat mnoho věcí - toto by mohlo být vymyšleno mnohem praktičněji
1,"Zatím nic, (výrobek používám necelý měsíc)"
0,"Lehký vysavač, dobře se s ním pracuje, snadno se dostane do prostorů, kam se můj starý vysavač nedostal, výhoda, že se při práci neplete šňůra. Dobré recenze na tento typ tyčového vysavače"
1,"Ucpává se často hadice, je pravda, že vysávání chlupy a zbytky sena po králíkovi"
0,Výkonný za dobrou cenu. velká spokojenost
1,Zdá se mi dost hlučný . Krátký přívodní kabel . Při delším vysávání se špatně drží v ruce 
0,"Při úklidu pojíždí zlehka za vámi, kolečka jsou kvalitní a lehce otočná. Dobrá skladovatelnost, protože úchyty jsou vzadu i z boku. Jsme spokojeni s výrobkem, odpovídá úklidu domácnosti s dětmi a zvířaty a častým úklidem celého domu"
1,"Mohla by být delší el. šňůra, trochu nezvyklý úchop pro přenášení"
0,Dobře vysává psí chlupy. Velký zásobník na prach
0,Za tu cenu dobrý
0,Suché a mokré vysávání
1,"Zázračný výkon nečekejte, je to bateriový vysavač"
1,Hadica k vysavaci zahakla za za opravdu maly cudlik
0,"Velmi kvalitní vysavač, výborná manipulace"
1,Nepraktický je posuvný nádstavec se štětinami na rukojeti
1,"Škoda že nemá omyvatelný filtr, ale dá se sehnat aspoň náhradní"
1,"Je slaby, zanasi se"
1,"Hepa filtr snese jen pár vyprání, pak velmi omezuje proud vzduchu. je to zbytečnost, kterou je lépe vyřadit"
0,"Vysavač mi maximálně vyhovuje, je kvalitní, tichý a hlavně bezsáčkový"
0,Tichý a skvělá výbava nádstavců
0,"Zatím nejlepší vysavač, který jsem měla. nelituji"
1,Absence nabíjecí stanice - připojení k nabíječce je realizováno pouze kabelem
0,Až na vodu vysaje všechno
0,Perfektní pomocník na drobné vysávání
0,"Bez šňůry a bez sáčků, rotační hubice"
0,"Vždy po ruce, dobrý tah, více rachlostí, stojí samostatně"
1,"Hlučnost oproti 'bytovým' vysavačům je vysoká. Krátká hadice, vysavač je stále u nohou. Menší průměr sací hubice zbytečně omezují sání větších nečistot, sílu ale vysavač na to má"
1,Trochu hlučnější ale je to vysavač tak to prostě je
0,"Snadná obsluha, výborná savá síla, tichý provoz, lehký na přenos, snadné vysypávání prachu, hubice s ionty stříbra"
1,Pouze na lokální vysávání (nevhodné na větší rozsahy)
1,"Dražší sáčky, ale to jsem u této značky očekávala"
1,"Velký vysavač (ale vzhledem k obsahu sáčku odpovídající). Tlačítka na těle se musí mačkat silou (žádné senzory), až mám obavu z mechanického poškození"
1,Chybí držák na stěnu nebo stojan. Chybí držák na příslušenství. hubice nelze mít u vysavače
0,"Dlouhá teleskopická tyč u které se nemusíte konečně hrbit, velký sací výkon, nástavce s kartáčema výborně vyluxují koberce i čalounění od chlupů i vlasů. skvělý bezsáčkový systém s pěti filtry, dlouhý přívodní kabel, design, gumová kola které nepoškrábou plovoucí podlahy atd"
0,"Poměrně dobré sání,lepší by byla nabíjecí stanice než klasická nabíječka.jinak zatím spokojená"
0,Tento vysavač používám pouze na vysávání příležitostní. jsem spokojená
1,Náročnější a časté čištění
