label,sentence
1,"Jeden velký box na zeleninu, raději bych měl dvě menší přihrádky"
1,Zatím jsem na nic nepřišel
0,"Mám vyzkoušený,perfektní,proto další jako dárek"
0,"Bez zámrazová, zatím krátce v provozu"
0,Tichý chod ikdyz první dva dny to bylo šílený ale pak zcela ztichla
1,Kontrolka nabíjení příliš jasná
1,"Plastový šmejd, blbě se drží"
1,"Málá nádobka na vodu. Velmi špatně řešené uchycení nádoby na vodu. Má jen dvě možnosti velikosti kávy,ale některé kapsle jsou na množství vody něco mezi těmito velikostmi"
1,Zatím o žádné nevím
0,"Digitalni ovladani-prehledne,velmi tiche prani i zdimani-programy skvele pouzitelne-velmi dobry vysledek odstranovano spiny,skvrn"
1,"Myslela jsem, že na displeji bude aktuální teplota v ledničce, no, nenídisplej je jen na nastavení teploty, jakou chcete mít uvnitř. Teploty uvnitř hodně kolísají, což by snad nemělolépe by se to změřilo nějakou meteostanicí,ale co už fčil. Přemontování dvířek zvládne zkušenější kutil"
0,Krásně rozmixuje i tvrdší ovoce a zeleninu (mrkev apod.)
0,"Možnost nastavení kombinace síla/množství kávy a tím si regulovat výsledek. Když se ta kombinace nalezne, je káva opravdu dobrá. Dobrý produkt za dobrou cenu"
0,Kvalita za dobrou cenu
1,"U satrších modelů, co mám já se ničí spodní část vysavače"
1,Musí se otevírat víko při nalévání-
0,Prodlouzena zaruka na baterii
0,Tento produkt jsem si vybrala na doporučení
1,"Váží 60kg, ale vzadu má válečky pro posun :)"
1,"Jen jedinná nevýhoda je, že dvířka musí být více otevřená, aby šla dobře vysouvat spodní zásuvka na ovoce a zeleninu. máme v rohu, tak to je trošku ztížené, není tam tolik místa, museli jsme trochu natočit"
1,Horsi pristup k boxu na sedliny. Nadrzka na odpadovou vodu by mohla byt vetsi. Hrnicky behaji po plechove plose. Jedno tlacitko pro tvorbu peny
1,Příliš silná intenzita led světel u kruhového voliče programů. Krátký přívodní kabel na elektřinu. cca o 25 cm kratší než u 10 let starého modelu. Absence pojezdových koleček. pouze aretační šrouby-nožky. Příliš vyčnívající páčka otevírání a zavírání
0,"Malý , kompaktní, na rychlé použití"
0,Jsem spokojena vysavač splnuje to co jsem očekávala mohu doporučit vyzkoušela jsem i šamponování koberců jsem též spokojena
0,"Teploty od studené vody, přes 20, 30 °c ke standardním 40-60-90 °c. I při 800 ot/min je prádlo poměrně suché (1000 ot/min je podle mě potřeba jen na ručníky a podobně nasákavé a objemné textilie - tam při 800 °c ještě dost vody zůstane)"
0,Vynikajúcí výkonný a tichý vysavač
0,Vysavač jsme darovali mamině k narozeninám a je z něj nadšená a spokojená :-)
0,Ideální lednice pro jednoho až dva lidi
0,Pro běžné praní dobré
1,Špatně se vyndavají metly
0,"Dobře pere, je tichá"
0,Stále připraven k použití a perfektně vysává
1,Ještě jsem po 14 dnech nenašel
0,"Mele jak potřebujete, čerstvě namletá káva krásně voní, ráno vaás probudí vůně čerstvé kávy, co více si přát,naprostá spokojenost, ke všemu ještě dodáno s termo konvicí, vynikající kávovar za skvělou cenu mohu jen vřele doporučit, neváhejte"
1,Po obdržení přišel leták kde byl o 2500 kč levnější
0,"Vypínač se nemusí trvale držet. One + systém (pokud máte i ostatní nářadi ryobi). Dobře se drží, měkčené grypy okolo rukojeti"
1,"Někdy je hlučnější když sepne prostě, ale dá se to vydržet"
0,Kvalitní zpracování a tichý chod
0,"Vysává a to je hlavní, do domu, garáže, auta i do dílny"
1,Je horší než starší typ. má míň zásuvek v lednici a celkově naní tak dobře uspořádán jako starší modely 
1,Trochu hlučnější při ždímání
1,"Vůbec se mi nelíbil návod. kdyby překladatelé si tak stoupli před kávovar a začali podle něho přístroj zprovozňovat. pokud bychom neměli předchozí zkušenost, tak rozhodně nebudu dělat hnedle na konci zprovoznění tvrdost vody a pod"
1,"Špatně se čistí nádobka na nečistoty,nevhodné umístění držadla nádobky, nevhodně nesené příslušenství"
1,"Sekací nůž nevypadá, že by vydržel větší nápor nebo extrémně dlouho. uvidíme po čase"
1,"Velice mala plocha filtru, zejmena ve srovnani s vyrobky philips"
0,"Malé rozměry, velmi dobrá funkčnost"
0,"Byla jsem překvapena, velký tah a za tu cenu výborný"
1,"Malý tah. nevhodné nástavce. bez nástavce nesaje,"
1,"Nádobka u sekání má docela malý obsah,výhodnější. By byla o,50 l"
1,Trubice by mohli být lehčí. Vysávač by mněl být pevnéjší
1,Zatím jsem žádná proti nenašel
0,"Mám krátkou chvíli,  pro rychlé vysátí drobků dostačující, funguje perfektně. Výhodou je také, že má síťové připojení"
0,"Vysoký sací výkon, při nízkém příkonu ze sítě. velmi tichý, snadná manipulace při vysávání. dlouhá síťová šňůra. snadná výměna sáčků, které se po vyjmutí uzavřou klapkou"
1,"Prádlo nevoní  po aviváži, ale ani není cítit po gumě"
0,Nemám co dodat zatím perfekt
0,"Působí kvalitně, mixuje dobře"
1,"Nemá regulaci sání, pouze na rukojeti"
1,Úprava cen při zavření obchodu 2010-2011
0,"Kávovar je opravdu jeden z nejmenších na trhu a báječně se mi vejde na to správné místo v kuchyni. Káva z něj je vážně skvělá, ráno je krásnější :-)"
0,Supr pomocník do naši domácnosti dekuji
0,"Baterie vydrží cca 30 min. Plně nabitý za hodinu. Dobrá sací schopnost ,perfektní na plovoucí podlahy. A taky je hezkej :-)"
0,Variabilní police v lednici i pro větší nádoby
1,"Neodhadla jsem velikost,hodila by se větší"
1,Složitější nastavení většího množství kávy u velkého šálku a následné uložení do paměti
1,"Malý zásobník na zrno, malý zásobník na vodu"
1,"Někdy kapsle po použití znečistí držák na kapsle a i při přenosu do koše občas dojde k zašpinění prostoru i přesto, že počkám než to odnesu"
1,"Zasobnik na vodu je zezadu, blbe se mi k nemu dostava kdyz potrebuju doplnit vodu, ale asi hodne zalezi kde je kavovar umisten"
0,"Nezabere moc mista,dobre se myje,dostupna cena"
1,Přidal bych adaptér pro vrtání
1,Chybí možnost zavěšení nebo rozumného uložření kromě postavení do rohu
1,Snad jenom když lednici ustavite tak má plastové nožičky a ty po plovoucí podlaze dost jezdej. takže se s lednicí dá lehce pohybovat. vyřešeno gumovou podložkou
0,Na obrázku vypadá velmi hezky. Převážná část kávovaru vyrobena z nerezu
1,"Uvítala bych, pokud by v návodu byl uvedený čas praní u jednotlivých programů orientačně"
0,"Na psí chlupy na koberci je moc dobrý, má sílu /až zvedá koberec/"
0,"Velmi tichý. máte pocit že při tak nízké hlučnosti nemůže mít žádný sací výkon, ale vysává opravdu velmi dobře. Násady se do trubice zacvaknou a samovolně se neuvolní. Ovládání na hadici, při ovládání není nutno se shýbat k vysavači"
1,Police ve dveřích neodpovídají výškově produktům denní potřeby v čr. (nízké police)
1,"Ovládání nejde otočit do polohy vypnuto, ale možná je na to nějaký fígl"
0,Káva se udrží na podstavci 30 min. teplá
0,Velké a přehledné police. Variabilní možnosti (lednice nebo mrazák). Pěkný vzhled celé lednice
0,"Velice jednoduché a praktické ovládání, krásný vzhled a kvalitní káva"
0,Snadné čistění a údržba. Braun je osvědčená značka. Rychlost otáček závisí na síle stisku
1,Trosku zdlhavejsie prehodenie dvierok na lavu stranu inak nic
0,"Snadné ovládání, dobrá manipulace, lehká montáž a demontáž nádstavců, rychlý, lehký. Na doporučení - recenze zákazníků"
0,Je to pěkná lednice s ld displejem a dostatečným množstvím polic
0,Spolehlivý a velmi silný mixér. ideální na smoothy a raw
1,"Tíha a údržba trochu složitější, ale není to nic strašného"
1,"Vadí mi, že hloubka pračky je uvedena 45 cm, což není pravda. vybírala jsem hlavně i podle té hloubky, ale ve skutečnosti má asi 53 cm"
1,Mohla by být vysoká 200 či 205 cm
1,"Šlehací metla nesedí pevně, vrklá se. Mixovací nástavec se musí přidržovat, jinak vypadává"
0,Pohodlný a lehký do ruky na různá zákoutí i do vozidla
0,"Když pere je slyšet jen šplouchání vody, prádlo perfektně vyprané a vyždímané i  při krátkých programech"
1,"Vydržel jen 1 rok, neměl držák na zeď, špatná kontrola  nabíjení"
1,"Dost hlučný, ale asi je to daň za výkon"
1,Malá nádržka na vodu která se špatně doplňuje
1,"Snad jen chybějící držák na kabel, který si musí člověk nějak přidržovat, jinak všelijak překáží"
1,"Délka programů,ale lze zkrátit na poloviční čas"
0,"Pěkný design, krásná crema"
0,"Dobré sání, tedy za 3, vodní vysavač"
0,Rychlá příprava chutné kávy
1,Mozna trochu hlucnejsi a tezsi
0,"Velký vnitřní užitný prostor v relaci k vnějším rozměrům. Dobře chladí i mrazí. Speciální police určená pro lahve ulehčuje dveřím, do kterých jsem dříve lahve musel ukládat"
0,"Hezky vypadá,rychle vaří-téměř okamžitě,jednoduchá péče"
0,"Skvela cena v porovnani s podobnymi cyklonovymi vysavaci. Velka uspora (neni potreba kupovat sacky). Hepa filtr, skvele izoluje"
1,Musi se casto vysypavat (maly objem 'sacku')
1,"Odtoková hadice přílíš tvrdá,málo ohebná"
0,Funkce mrazáku smart frost (zpomaluje tvorbu námrazy). Možnost uspořádat poličky dle momentální potřeby. Nejlepší cena ze všech obchodů (8881 kč včetně dopravy)
0,Zatím po všech stránkách spokojenost
1,"Drobnou nevýhodou je velikost vysavače, ale i to je důvod pro plusy, takže ok"
0,Široký rozsah výroby kávy
1,Jen hadice je tuhá a krátká
1,"Ždímá míň (ale má 1000ot., takže jsem s tím počítala)"
0,"Prozatím velká spokojenost, káva připravená dobře (v této cenové kategorii), tichý chod, povedený design,  příjemné rozměry"
0,"Přední led diody, se kterými je krásně vidět každé smítko"
1,Snad jen hlučnost mlýnku by mohla být tišší  ale přesto má ve srovnání s konkurencí jeden z tišších mlýnků
1,"Nadměrná hlučnost neodpovídající popisu. možná vhodná do velkých prostor kde zvuk kompresoru tolik neobtěžuje, ale ne do malých bytů, na což je ale svou velikostí předurčená"
1,"Součástí výrobku není nádoba na samotné našlehání mléka, takže dokoupit, popřípadě to vychytat s hrnečkem, což chvilku trvá"
1,Nahřívání šálků je symbilické. Při provozu něco drnčí a nedaří se mi to najít a vyladit (podložit)
1,Některé ovoce se zadrhává
1,Po prvnich nekolika pouzitich misky s nozi se jevi male opotrebeni na spoji miska-mixer
0,"Množství kávy v hrnku se nastavuje manuálně a ne předvolbou, která bývá u jiných kávovarů, takže se nelze splést a hrnek nepřeteče"
0,"Perfektní cena, aaa,kvalitní zboží"
0,"Zatím je výrobek v záběhu. vyhovuje, zejména oceňuji snadnou manipulaci při výměně násad"
0,"Šikovná mašinka s nádherným designem, zabere málo místa"
0,"Nízká váha, tichý chod, pěkný design"
0,Díky dlouhé šňůře a hadici velký radius. Možnost přepnout stroj na ofukování
0,Kvalitní přístroj s množstvím (14) typů kávových produktů
1,Špatně řešený odvod vzduchu. část jde přetlakem okolo těla vynímatelné jednotky dopředu a odfukuje prach namísto vysátí
1,V čr dostupné pouze 2 varianty
0,Výměna za plně funkční elektrolux se kterým nebyl sebemenší problém.světelný. Dotykový displej.nový zásobník pracího prostředku.parní sprcha.záruka na motor 10 let.inovační prvky.cena
0,"Excellent value for money, pracuje spolehlivě"
0,Spokojenost jak s obchodem tak s výrobkem
0,Zatím dobré máme ho krátkou dobu
0,"Kartace na dlažbu,vysavač jede lehce"
1,"Oproti původní lednici o trochu méně místa, přeci jen má silnější stěny"
0,Rychlé namražení po odstávce
0,Je ihned připraven k pouziti
1,"Viděl bych jen vrtulku s vnitřkem z kovu a v platové misce taky nějaký tvrzený trn. nicméně, co bych chtěl za 600,- kč - že"
0,Vyborny saci a cistici vykon
0,"Kompaktní velikost, speciální programy"
1,"Nemá čidlo, ani žádnou diodu, že došla voda to mi dost vadí. Má nízko otvor z něhož vychází káva"
0,V domácnosti na suché i mokré vysávání
0,Funguje jako mop celkem solidně. Funguje jako ruční vysavač. Doba provozu 45 minut
0,"Báli jsme se hluku, ale je to dobrý"
1,Trošku vyšší hluk ale k jeho velikosti a výkonu celkem normální
1,Chybí metly na bram. kaši
0,Lednička  je tichá a vzhledově pěkná !
1,Turbokartáč je velmi hlučný. Příliš silná hadice k vysavači. Prodlužovací tyč po zasunutí do kartáče nejde pořádně vyndat - pro zasunutí není žádná západka
1,Zatím jsem žádnou nevýhodu neobjevila
0,"Výrobky zn. whirlpool užívám několik let. byla jsem s nimi vždy plně spokojená, proto jsem si opět zakoupila pračku od té samé firmy"
0,Ta pěna nebude nikdy jak z napařovací trisky
0,Pomocník za pár korun
0,"Je tichounká, neslyším vůbec praní ani ždímání. Má spoustu krátkých programů,. Možnost nastavit si u některých programů stupně teploty a otáček,"
1,Nekvalitní tlačítka pro volbu programů (alespoň na mnou zakoupeném výrobku)
1,"Poloha ve stoje není aretovaná, což u tyčového vysavače je zásadní funkce. V příslušenství není hadice a štěrbinová hubice, což je zasádní příslušenství každého vysavače pro běžné použití"
1,Nevim o zadnych. kvalita previsuje cenu
0,"Lednici hodnotím jen kladně,mohu jen doporučit. vnitřní uspořádání velmi povedené. nový typ o hodně lepší než typ starší,nový vnitřek a madla u dveří"
1,"Trochu drnčí, když pracuje"
0,"Výborně vysává, spousta nástavců jsem spokojená"
0,"Sice je slyset, ale najednou jsme si v kuchyni vsimli ze nam 'bzuci' setrici zarovky :-) coz s puvodni lednici nebylo slysetjinak nevydava zadne divne zvuky"
0,Za male penize vyborny nakup
1,Casto se sam vypina
1,"Udržba nádobky na mléko,ale neni to nic složitého"
0,Rychlá příprava výborné kávy
0,"Upozorní vás, když máte dlouho otevřené dveře od ledničky :)"
0,Spínaná zásuvka pro připojení nářadí. Nízká cena za slušnou kvalitu
1,Kratší šňůra k napájení
0,"Po více než týdnu provozu v nové koupelně funguje k plné spokojenosti. Obsluha jednoduchá a pere parádně. Dlouho jsme vybírali a po špatných zkušenostech s pračkami od whirlpool a indesit jsme přešli na lg, tak snad bude sloužit :-). Záruka na motor 10 let"
1,Nevybavuji si zatím nic
1,"U baterie chybí signalizace, kdy je plně nabitá, svítí pouze kontrolka připojení k síti. Náhradní baterie - cena vyšší než 1/2 ceny přístroje"
0,Rozmisteni polic a supliku = celkove objem
1,Jen dva stupně nastavení síly kávy
0,Chytré řešení pro rychlou a snadnou přípravu dobré kávy
1,Trochu hlučnější při odstředění
1,"Kratší přívodní kabel, lépe by bylo 10-12m. Pro vyšší postavy (nad 180cm) je teleskopická tyč krátká, nutné se někdy ohýbat"
0,"Velké prostory jak chladící, tak mrazicí části"
0,"Dobré espresso, kvůli kterému jsme to koupili. v minulosti jsme už vlastnili asi pět kávovarů různých značek, ale tenhle dělá nejlepší kávu. doufáme, že mu to vydrží"
1,"Při prvních pár mixováních byl cítit zápach motorku?nyní už v pořádku. Kamarádi jej objednali pro známé. oni mají vitamix. když klarstein zapnuli, vyhodilo jim to pojistky a začlo se z toho čoudittakže jej budou vracet a půjdou cestou omniblendu/vitamixu i pro své známé"
0,Snadné vysypávání nádoby na prach
1,"Chybí možnost rozpojení a samostatného vysávaní ( sedačkz, autosedačky atd )"
0,"Menší šířka 54cm, design"
1,"Chatrný uzávěr mezi díly,- u prvního vysavače byl ulomen"
0,Jednoduchost a precizní zpracováni
0,"Zatím umixoval vše, co jsem potřebovala, ale mám ho jen krátce"
1,Nízký příkon motoru a sekací nože
1,Špatně se otáčející hubice na vysavači
1,"Držáky ve dveřích nelze rozestavět tak, jak chcete. Trochu hlučnější než jsme čekali"
0,Kvalita kávy a jednoduchost obsluhy
0,Možnost regulovat nastavení programů
0,Možnost použití i mleté kávy. Uložení vlastní konfigurace pro nápoj
0,"Kvalita , vzhled splnil očekávání"
1,Zatím jsem žádnou neshledal
0,"Jednudocha obsluha, tichy chod, pripraveno behem minutky a dobra flaska na cestu"
0,"Otvírání je zajištěno tak,že se sama  neotevře. Nastavení teplot v ledničce i mražáku. Uspořádání poliček ve dveřích"
0,"Parní praní, velký buben, cena"
0,"Výborně vysává chlupy z koberce i sedačky, při správném zvolení nástavce"
0,Za poměrně slušnou cenu
1,"Připojení k aplikaci jen přes bluetooth. wifi by kávoval poslala do naší sítě :-). Když si vše nastavíte v aplikaci, tak se stejně musíte zvednout a dát si šálek pod disperzor :-) :-). Teď už umí šálky zakládat děti, takže vše vyřešeno :-)"
1,O ničem zatím nevím
1,Nemám přístroji co vytknout
0,"Praktická a malá, tuto chladničku už máme druhou a jsme maximálně spokojeni"
1,Občas mu musím drobky předpřipravit rukou nebo přejet několikrát než je sebere
0,Malá ale prostorná.používám na terase na nápoje
1,Má i při vyndání na ruční vysavač špatně řešenou hubici a nedá se dostat do úzkých prostor
0,"Chladnicka je velka, ma kopu miesta, dobre osvetlena"
0,Často se musí vyklepávat filtr
0,Spokojená za tuto cenu
1,Hlučnější při mletí kávy
0,Chladnička dostatečná pro 4 člennou rodinu. Prodloužená záruka na 4 roky po registraci
1,Není na 7 kg.  zapáchá
1,"Nádoba na odpad je bez pojistky, velmi lehce si člověk splete držák a místo zvednutí vysavače vyndá pouze nádobu na odpad"
1,"Zatím nic možná by to chtělo  trochu lepší vysvětlení k programům v návodu, ve smyslu kdy, co, jak a proč"
0,"Snadná obsluha,káva je připravena velmi rychle,hezký design"
1,Dlouhá doba základního pracího cyklu. Nelze poznat v jaké fázi je program
0,Koktejly jsou výborné a mimo pecek se nic nevyhodí!
1,Při ždímání hodně hlučná
0,Hodně muziky za málo peněz
0,"I přes vysoký počet otáček relativně tichý provoz. zkušenost s 800 otáčkovými, které značně přehlušovali tuto pračku. snadnost zapojení nutných verglů pro provoz pračky. Polystyrénové bočnice, které jsou uloženy ve dně a ve víku. s přítelkyní jsme si po rozbalení parádně zamečovali s těmito bočnicemi. byla sranda, vyhrál jsem :d. Navíc jsem vychytal slevu 3.000,- na tuto pračku a ještě byla u beka akce na tento model pro prodlouženou záruku 5 let. no nekup to"
0,Je opravdu nádherná a na první pohled velice kvalitní
0,Bezva šlehač za nízkou cenu
0,Po vyprání se automaticky nevypíná displej
0,"Lednice je prostorná, lehká, dobře osvětlená, šuplíky mrazáku mají po stranách madla, což je velmi praktické"
1,"Zatím jsem max. spokojená, tak mě žádné mínus nenapadá"
0,Opravdu hodně malá hloubka. Pračka je i přes své malé vnější rozměry velká uvnitř
1,Spouštění pračky přes webovou aplikaci
0,Možnost použít kapsle jiných značek (kapsle systému caffitaly)
0,Pradlo po vyzdimani temer suche. Moznost davkovat gel do davkovace na prasek (bez nutnosti pouzivat kelimek uvnitr bubnu). Moznost doplnovat pradlo za chodu. Az na splouchani celkem ticha. Jednoduche ovladani - volic plus par dotykovych tlacitek
1,Piju teď moc kafe :-)
0,"Nízká hlučnost, možnost individuální úpravy programů, odložený start, jednoduché ovládání"
1,"Zbývají docela velké nezpracované kousky zeleniny ve tvaru malého konusu (dáno tvarem pěchovačky), což není nic tak hrozného"
1,"Balení obsahuje i nepotřebné časti, např trychtýř na sypáni kafe - zbytečný"
0,Kavárna v klidu domova
0,Kava vynikající. obsluha jednoducha
0,Vhodný na určenou činnost
0,Dostatek praktických přihrádek ve dvířkách
0,"Hlučný akorát. namixuje vše, co potřebuji (smoothie, raw polévka, zeleninu na pomazánku). jsem s ním spokojená"
1,"Návod by mohl být podrobnější, pračka má spoustu funkcí které jsou ne zcela vysvětleny, ale postupně do toho pronikáme"
1,Nemá podsvícený display - v tmavším koutě kde se většinou umisťuje nečitelné - nedá se nastavit čas spuštění bez baterky
0,"Velkou výhodou je turbo kartáč a přiložená sada příslušenství. Sací výkon je naprosto dostačující a vysaje i velmi jemný prach které běžné sáčkové vysavače propustí skrz filtry. Dobrá ovladatelnost, nízká váha a systém vysypávání prachu je též velmi jednoduchý a promyšlený"
0,Značka liebherr  je podle mne u chladících zařízení stále ještě  'záruka kvality'. Prostorná lednice s bohatou výbavou a funkcemi
1,"Nepříliš dobře uložené trubky v držáku na vysavači, neustále vypadávají"
1,Hlučnější napouštění a praní
1,Jediná nevýhoda špatně řešené madlo na přenášení vysavače
1,Popisky nejsou v češtině a černé písmo je na stříbrném podkladu někdy špatně čitelné. možná moc stručný návod
1,"Několikrát zapnout, vypnout, zapnout, než uvaří espresso. Nutno celou dobu, kdy se vaří esprreso, přístroj hlídat a ručně jej vypnout"
0,Velikost pro menší rodinu
0,Slušné rozměry a povedený design. Velký výběr kávových specialit jedním tlačítkem
1,"Kvůli mrazáku nahoře se člověk musí ohýbat pro potraviny.ale to jsem si měl uvědomit dříve. zásobník na vejce s plastovýma šroubkama mi příjde zbytečný.stačí jej vložit,než jej složitě montovat"
1,"Když dáme např. láhev na horní poličku, tak vibruje a je to celkem nepříjemný zvuk"
1,Mohl by být tižší. Po nabíjení se sám nevypne (je třeba ručně odpojit)
1,"Docela krátká šňůra, hned první rychlost je velmi rychlá, hodilo by se začínat na nižších otáčkách,"
1,"Je hlučnější, ale sousedi prý nic neslyší, takže mixuji i brzy ráno"
0,"Dlouhá výdrž baterie na jedno nabití. Velice dobře vysává jak koberce, tak pevné podlahy"
1,"Nemá ukazatel aktuální teploty chladničky ani mrazáku. Mohlo být lépe vyřešené zakrytí zadní části lednice, např. prodloužením bočních panelů o pár cm"
0,"Wifi  upozorní, že doprala"
1,Špatně se vymývá (je velký)
1,"Zatím žádné, mám teprve krátce"
0,"Dostala jsem zboží, které už v obchodě nebylo a já jsem si ho mohla objednat u vás"
1,"Pro někoho bude ovládání programů, zejména jejich doplňků, zpočátku trochu komplikované. Návod je sice obsáhlý, ale některé informace, jako např. délky pracích cyklů jednotlivých programů, v něm chybí. Příliš intenzivně svítící kontrolky na informačním panelu"
0,Jednoduchá manipulace s vysypáváním prachového boxu
0,Jsem spokojená neměnila bych za jiný
0,Koupil jsem 3.1.13 celkové spokojenosti
0,Jsem s ním spokojená. Velice dobře těsnící lahev
0,"Lednici máme v provozu 1 týden, zatím vše o.k"
0,"Vysavač jsem kupovala pro maminku,máme doma pejsky a běžný vysavač nevysaje chlupy,ale tento je bezchyby ,chlupy odstraní a krásně vysaje koberce,já mám tento vysavač už 5 let a jsem s ním maximálně spokojená"
0,"Mixuje všechno ,kvalitní materiál i vzhledově je moc pěkný"
1,"Zasadit tyčku rukojeti chce pořádnou sílu a poté už nejde vyndat, takže nelze poté použít jako ruční opět to chce sílu k vyndání nebezpečí , že se něco ulomí"
0,Jednoduché ovládání a čištění. mnohostranné využití
0,Saje tak že trhá sáčky a je pořád hladovej. :)
0,S dvířky je celková hloubka okolo 61 cm. využijete ve stísněných prostorách (máme pračku ve skříni). Vše se ovládá knoflíkem a tlačítky. žádné dotykové panely
1,"Poměrně rychle se vybije - cca 15-20 minut provozu, ale většinou to stačí"
1,Nejdou lehce otevírat dveře
1,"Sekací  noha  sice chromovaná, ale v plastu, minulá mixérová tyč se mi v obl. připojení k základně zlomila, náhradní nelze dokoupit"
1,"Nenašla jsem žádné nevýhody, splňuje, co jsem od něj očekávala"
1,"Po delší práci 'ztěžkne'. Nádoba na vodu jen na 1,2l, chybí výlevka špinavé vody"
1,"Přístroj nefunguje jak by měl, kávu zalije místo 60ml pokaždé jinak a to například 10ml apod. voda odtéká do odkapávače po dodělání kávy, takže odkapávač je ihned plný vody. při dělání kávy z přístroje hodně uchází pára"
1,"Oproti modelu, který jsem měl před 4 lety je kvalita zpracování o trošku horší"
1,"Vnitřní osvětlení je umístěno poněkud nešťastně a díky tomu je nahoře a dole v ledničce poměrně šero až tma; po pár dnech jsem si na to ale skoro zvyknul. Občas celkem hlasitě v řádech minut cvaká, pak je delší dobu klid; toto se pořád opakuje"
0,"Program na přikrývky, outdoor, anti-allergy. Display - čas praní"
0,Výrobek jsem vybrala dle značky a na základě doporučení prodejce kávovarů
0,"Zatím jsem příliš nevyužila, nemohu proto posoudit"
1,Musí se držet síťový vypínač
0,Elektronické tlačítko místo vypínače. Automatické vypnutí po 40 min
0,"Výborně vysává, na nejvyšší výkon přímo trhá koberec. Má takovou sílu,že vysáto je i u sousedů přes podlahu"
0,"Ticha pracka, pere dobre, srozumitelny navod, prehledny panel ovladani. Moznost upravit dobu trvani praciho programu"
1,Ocenila bych automaticke navijeni kabelu a zvukovy signal pri docerpani vody
1,Buben nezastavuje v horní poloze
1,"Lidský faktor: osvětlení není uchyceno a nejde to asi špatný výlisek krytu osvětlení ,selhání výstupní kontroly u výrobce!"
1,Dle mého vyšší hlučnost při zapínání - vypínání přístroje. K přípravě kávy nelze použít  vysoké sklenice
0,"Naprosto skvělý ve své třídě. Za příznivou cenu maximální výhody - prachové emise a, spotřeba energie a, účinnost na tvdé podlahy a = luxus :). Praktické používání, tichý chod"
0,Bezproblémové uvedení do chodu a následné jednoduché a intuitivní ovládání. super výsledné produkty
0,"Mnoho programů, krátká doba sušení oproti staré aeg"
1,"Po prvním sušení prádlo zapáchá z vysokého ohřevu - doporučuji pořídit pro “vyvoneni” ubrousky do susicky. Po každém sušení je potřeba otrit víko a gumu u otvoru od prachu a chlupů, které na těchto místech ulpivaji. Komunikace s mobilní aplikaci funguje pouze u androidu a ne u ios"
1,Nic - užívám krátce
0,"Jednoduché ovládání,velmi tichý stroj,kvalitní zpracování,bezvadně vyprané a vyždímané prádlo, přesně to co od pračky očekáváte"
1,Chibi výběr otáček mezi 800 a 1400 není nic na výběr
1,Zatím jsme nic nezjistili
1,"Zatím nic, přístroj používáme týden"
0,Deltová hlavice se dostane opravdu všude
