	text	predicted_label	confidence	actual_label
87	Tureckou kávu/ myšleno českého turka.	1	0.991	0
88	Ale obtizne se cisti nadrz na prach.	1	0.996	0
89	Několik nádstavců na vysávání různých ploch.	1	0.997	0
90	Sympatickou vychytávkou pro rychlou informaci o teplotě je teplotní nálepka se symbolem ok.	1	0.991	0
91	Menší nádoba na sekání.	0	0.999	1
92	V krabici bylo hodne hlavic.	1	0.997	0
93	Který od rána udržoval i poslední lok kávy vždy horký.	0	0.997	1
94	A kdybych chtěla dělat smoothie pro více lidí.	0	0.943	1
95	Až mi přestala chladit.	1	0.996	0
96	Takže po otevření koukám do zhasnuté lednice.	0	0.967	1
97	Uvídíme jak dlouho to ve firemním provozu vydrží.	0	0.983	1
98	Již hodně širokým nádobám (nehrozí vyklouznutí).	1	0.979	0
99	Takže mi připadá celé zařízení čistší.	1	0.996	0
100	Skleněné police a to i v mrazničce pod šuplíkama.	0	0.975	1
101	To v této době nevíme.	1	0.985	0
102	Vydržel jen dva roky a umřel.	0	0.958	1
103	Rozdílné filtry pro jednu a dvě kávy (krups to zvládal s jedním).	0	0.997	1
104	Nastavení všech parametrů také není složité a provedení v bílé barvě vypadá velmi dobře.	1	0.996	0
105	Hlavně rovných podlah - dlažba.	1	0.992	0
106	Tlačítka na spuštění a na režim turbo.	0	0.996	1
107	Oproti starému (28 let; bývalé vých.	0	0.990	1
108	Práci cyklus jde pozastavit a doplnit zapomenuté prádlo.	1	0.990	0
109	Na chatě v garzonce přívod vody.	1	0.970	0
110	S ohledem na velikost nápojů velice často doplňujeme vodu.	0	0.745	1
111	Koupě nového proběhla pouze z důvodu odvaření motoru v předešlém.	1	0.994	0
112	Program který má přednastavenou základní prací dobu 2h10min jde pomocí funkce 'time manager' zkrátit až na 35min-50.	1	0.993	0
113	Ty jsou tvrdé a ani nožem moc nejdou nakrájet dobře a pravidelně - teď už mám problém vyřešený.	1	0.919	0
114	Asi štěstí nebo německá kvalita.	1	0.989	0
115	Horší pití přes víčko.	0	0.985	1
116	Malá mraznička - není pro velkou rodinu.	0	0.995	1
117	Asi má i víc než 40 db.	0	0.981	1
118	Že je uvnitř v pračce.	1	0.996	0
119	Aeg made in hungary (aeg germany makala 20 let)-tak se uvidí.	0	0.932	1
120	Napěnění mléka je velmi rychlé a pěna opravdu drží.	1	0.978	0
121	Vymyšlený do posledního detailu.	1	0.990	0
122	Na displeji se ukazuje.	1	0.993	0
123	Není na velké množství.	0	0.986	1
124	Líbí se mi tato konvice na kávu.	1	0.882	0
125	Chybí program snadné žehlení.	0	0.991	1
126	Jelikož pračka před začátkem praní cca 2 min odčerpává případnou vodu.	0	0.753	1
127	Mrazák má poněkud menší kapacitu.	0	0.998	1
128	Máme ji kratku dobu.	0	0.802	1
129	Vysavač se nabíjí připojením adaptéru.	0	0.866	1
130	Psaný hodně drobným písmem - cizojazyčné.	0	0.998	1
131	Prádlo hodně mokré i ze sušičky.	0	0.999	1
132	Při vysávání je potřeba držet tlačítko.	1	0.997	0
133	Obtížná manipulace při mytí.	0	0.994	1
134	Toto není naše 1.	1	0.956	0
135	Byla pouze zapnuta na zkoušku.	1	0.991	0
136	Málo polic na tak velký objem.	0	0.997	1
137	Že je prádlo lépe vyprané.	1	0.978	0
138	Ale najednou jsme si v kuchyni vsimli ze nam 'bzuci' setrici zarovky :-) coz s puvodni lednici nebylo slyset.	1	0.992	0
139	Doba nabíjení 4 hodiny.	1	0.983	0
140	Vyndavání a nandavání konvice dovnitř a ven je docela festové.	0	0.920	1
141	Spouští jiné než navolene programy.	0	0.998	1
142	S teplotou 30 (40)´c.	1	0.851	0
143	Křížky u nástavců-hybný systém.	0	0.997	1
144	Úzký otvor pro plnění prádla.	0	0.996	1
145	Ventil na páru je menší než u jiných kávovarů.	0	0.983	1
146	Nevim co vypere ten 15 minutový program.	1	0.996	0
147	Nelze ještě 100% hodnotil.	1	0.965	0
148	Že může potichu vysávat.	0	0.958	1
149	Naplnění šálku chvíli trvá.	0	0.997	1
150	Začne před praním protékat do pračky.	0	0.998	1
151	Co se ve vysavači objevilo.	1	0.991	0
152	Byla to dobrá koupě.	1	0.877	0
153	Že se voda dobře doplňuje.	0	0.999	1
154	Zbytečně umele a vyhodí kávu.	0	0.995	1
155	Na spodní straně ostrá hrana hlinikového profil/může poškodit podlahovou krytinu/.	1	0.996	0
156	Je maličký oproti jiným na které jsme se dívali.	1	0.990	0
157	Zatím jsem velmi spokojen.	0	0.998	1
158	Trvalo mi tedy několik dní.	1	0.954	0
159	Pro někoho to může být výhoda.	1	0.856	0
160	Skleněná nádoba se myje lépe než plastová.	1	0.996	0
161	Po nabití se samo nabíjení vypne.	1	0.922	0
162	Pochromované trubky jsou z tenkého materiálu.	1	0.996	0
163	Nebo muze stat na pevne plose.	1	0.973	0
164	Že vzhledem k robustnosti vysavače působí fórově.	0	0.961	1
165	Zboží odpovídá obrázku i popisu.	1	0.972	0
166	Obtížná demontáž aretačních šroubů.	0	0.996	1
167	Tak i na boku vysavače (aby se hadice s nástavcem neválely po zemi).	1	0.986	0
168	Tak se do ní docela dost vleze.	1	0.987	0
169	Že lednice má jak levé tak pravé otevírání.	0	0.950	1
170	Asi po 9 kávách se na displeji napíše.	1	0.997	0
171	Je tedy možné po přerušení programu doplnit  'zapomenutým' prádlem.	1	0.995	0
172	Ze nemusim hlidat vypnuti vody :) voda se po naplneni hrnku vypne utomaticky :).	1	0.979	0
173	Naopak je tišší mlýnek.	1	0.996	0
174	V nabídce je mnoho různých programů.	1	0.997	0
175	Objemu a materialu nadobky.	1	0.997	0
176	To je ale individuální.	1	0.976	0
177	A další nadstandartní vychytávky jako nulová zóna.	0	0.999	1
178	Zvířata určitě neprohloupí koupí tohoto vysavače!!a když si v dnešní době spočítám kolik by mě stálo vyčištění všech koberců.	1	0.993	0
179	Koupila jsem dva presovače.	0	0.996	1
180	Určitě nevydrží tak dlouho.	0	0.919	1
181	Ale velice zdlouhavé čistění.	0	0.987	1
182	Samozřejmě musíte používat jen kvalitní kávu.	1	0.996	0
183	Což bylo praktické na vlasy na koberci.	0	0.991	1
184	Nepotřebuje dokovací stanici jako předchozí model co jsem měl předtím.	1	0.994	0
185	Speciální programy - řešení před začátkem praní jaký program zvolit.	0	0.996	1
186	Ostatní lednice  jsou  vesměs široké 60 cm.	1	0.990	0
187	Už jsme v kanceláři slušně zašpinili koberec.	0	0.539	1
188	Neni na vysavani vody.	0	0.993	1
189	V páce drží sítka pevně (lógr se dá krásně vyklepnout).	1	0.997	0
190	Nemá oddělený ovladač mrazničky ani teploměr.	0	0.998	1
191	Které když si ovšem necháte obě.	0	0.985	1
192	Pouze splouchání prádla a jednou za čas napouštění a vyčerpávání vody.	1	0.849	0
193	Ale třeba je to jen otázka zvyku.	1	0.990	0
194	Zatím nevím mám zboží krátce.	1	0.986	0
195	Kdyz se lednice otevre v noci).	1	0.988	0
196	Které zpravidla používáme a pak jednoduše vyvolat.	1	0.576	0
197	Není k dispozici velký turbokartáč.	0	0.892	1
198	Sklenice nebo hrnek se někdy musí držet.	0	0.969	1
199	Pere tato hůř a mnohem déle.	0	0.989	1
200	Ale to  chce jenom změnit  způsob ukládání)žádné obr.	1	0.981	0
201	Takže odpadl problém 'kam to dáme' :).	1	0.997	0
202	Jak bylo zmíněno v reklamě.	1	0.976	0
203	Opravdu velice lehce jezdi jak namydlena.	0	0.999	1
204	Kde nevaříte dvacet káv denně.	0	0.626	1
205	Byl mě doporučen kamaradem.	1	0.995	0
206	Lepší bych nenasla v te ceně.	1	0.963	0
207	Otevřené krabice mléka ve dveřích.	0	0.987	1
208	Otáčky až 32000 za minutu.	1	0.914	0
209	Vyšší hmotnost a malá kolečka pro přejíždění překážek.	0	0.994	1
210	Něco v něm začalo chrastit.	0	0.986	1
211	Jak ji máte rádi.	1	0.954	0
212	Ostatní vysavače vůbec nezvládají.	1	0.986	0
213	Ani teploměr v mrazáku.	0	0.998	1
214	Velké celkové drnčení stroje.	0	0.999	1
215	Kartáček na nábytek používáme na velmi citlivé lakované nášlapy na schodišti a nepoškrábe je.	1	0.996	0
216	Který nyní musím objednat zvlášť.	0	0.982	1
217	Že se drží hůře než braun co měla předtím.	0	0.997	1
218	Že je vybavena výrobníkem ledu.	0	0.993	1
219	Ale tento je bezchyby.	1	0.954	0
220	Neboť používám externí napěňovač.	1	0.989	0
221	De a stojí 8.	0	0.874	1
222	Že je jen na 4 kg prádla.	1	0.997	0
223	Oproti původnímu modelu prodloužený kabel.	1	0.996	0
224	Nemůžu tedy říct na 100%).	1	0.920	0
225	Mírně větší rozměry (daň za provedení 2 v 1).	0	0.999	1
226	Má míň zásuvek v lednici a celkově naní tak dobře uspořádán jako starší modely.	0	0.999	1
227	Sklenice na latte se nevejde.	1	0.997	0
228	Ze nepreziji zarucni dobu.	0	0.995	1
229	Svetelka nabijeni stale sviti - neni poznat.	0	0.977	1
230	Ale to není u lednice to nejpodstatnější.	1	0.975	0
231	Jestli skutecne vsechno pere 2-3 hodiny.	1	0.992	0
232	Proti starším typům lehčí.	0	0.999	1
233	Při přípravě 2 šálků se občas jeden naplní více než druhý.	0	0.995	1
234	Je to kratka doba k nejakemu hodnoceni.	1	0.864	0
235	Ale mrazi dobre(to bych krivdil :)).	0	0.997	1
236	Upozorní na nedostatek kávy i vody.	0	0.997	1
237	Čekal jsem za tu cenu uplne jiny víkon.	0	0.999	1
238	Nepoužíváme vaření dvou káv najednou.	1	0.994	0
239	Na čem sedí či dokonce spí.	1	0.719	0
240	Ventilátorek se točí snad neustále.	1	0.997	0
241	Není tak robustní jako u našeho starého vysavače.	0	0.991	1
242	Světlo po straně je horší než u staré gorenje - často ho zastíní 1 potravina a není vidět nic.	0	0.984	1
243	Obtížné se shání parfém do visavače cenově drahé.	0	0.997	1
244	Nádoby s tvrzeného plastu vypadají nerozbitně.	1	0.997	0
245	Tento vysavač používám pouze na vysávání příležitostní.	1	0.997	0
246	Pěna u každé kávy.	1	0.994	0
247	Nerez konvicka na mleko s integrovanym teplomerem.	1	0.997	0
248	Krups sloužil asi 15let.	1	0.970	0
249	Šuplík na zeleninu je malý.	0	0.748	1
250	Větší prostor v mrazničce.	1	0.994	0
251	Časté doplňování vody (kvůli čistícím cyklům při startu a vypnutí).	0	0.985	1
252	Celkem široká nabídka příslušenství k dokoupení.	1	0.992	0
253	Obojí cca 1 m.	0	0.746	1
254	Oproti klasickému vysavači mírně těžší.	0	0.998	1
255	Hůře se na výšku vejde do myčky.	0	0.998	1
256	Čekal jsem větší hluk.	1	0.990	0
257	Ale už vše v pohodě.	0	0.989	1
258	Přestože se poměrně dobře drží.	0	0.998	1
259	Občas ovoce nebo zelenina uvízne nahoře (resp.	0	0.991	1
260	Největší výhodu spatřuji ve velkém rozpětí výšky skleniček a hrníčku.	1	0.969	0
261	Kdo má úzké dveře jako já - šířka pračky je i s přečnívajícími prvky 59 cm.	0	0.968	1
262	Může dojít k přehmátnutí.	0	0.764	1
263	Moc se mi libi program na cerne pradlo.	1	0.997	0
264	Že se má jet naplno).	0	0.970	1
265	Výhoda je žeje do malého bytu.	1	0.613	0
266	I když je sání nastaveno na minimum.	0	0.802	1
267	V interiéru už podobný odstín máme.	0	0.994	1
268	Silný výkon na to.	0	0.999	1
269	Hned při prvním praní jsem kompletně vytopil dům se značnou škodou na ostatních věcech.	0	0.996	1
270	Konečně to někoho napadlo.	1	0.978	0
271	Při naskočení čerpadla kompresoru se ozve jen slabé kovové klepnutí.	1	0.997	0
272	Po vícenásobném použití je tato funkce již vyhovující.	0	0.991	1
273	Vhodný na různé povrchy (dlažba.	1	0.992	0
274	Vše je uvedeno v technických parametrech a není nutné zde popisovat.	1	0.914	0
275	Při malých dětech je skvělý 14 minutový program (taky 30 minut a 59 minut).	1	0.996	0
276	Tak je mixér naprosto dokonalý.	0	0.996	1
277	Pračka je schopná i přes použití antivibračních položek během odstřeďování 'popojít' i o 10 cm.	0	0.997	1
278	Aspoň v našom prípade.	1	0.995	0
279	Hustší koberec tak se přisaje a není možné vysávat.	0	0.987	1
280	Víc hlučná než jsme čekali na a+++ (více zvuků při spínání).	0	0.802	1
281	Že je vysavač malinkatý.	0	0.981	1
282	Uvidím jak se k tomu postavý firma.	0	0.993	1
283	Zejména co se pěny týká.	0	0.993	1
284	Po broušení sádrové omítky) - i přes vysávání do vody/přes originální filtrační sáček dochází k mírnému zanášení motoru.	0	0.968	1
285	Manželka si jej nemůže vynachválit.	1	0.725	0
286	Že ho nemám použít.	0	0.985	1
287	Krups bylo právě toto zařízení příčinou opakovaných oprav.	1	0.996	0
288	Ještě jsem nic nenašel nevýhodného.	1	0.992	0
289	Je to velká věc (daň za velký filtr a sběrnou nádobu = delší vysávání).	0	0.995	1
290	Špatně se s ním pracuje.	0	0.989	1
291	Že jsou kvalitní a nevychodí se rychle (bohužel to tak mají asi všichni výrobci).	0	0.991	1
292	Dala jsem na recenze  zákazníků a měli pravdu.	1	0.941	0
293	Mixér jsem ještě nevyzkoušela.	0	0.982	1
294	Ale stojí pevně na lince.	1	0.992	0
295	Objíždění různých překážek není nejsnažší.	0	0.979	1
296	Vyborne pere docela tiše.	1	0.990	0
297	Žena už si kapuccino ani nedává - budeme kupovat samostaný napěňovač (doporučení ze servisu dl).	0	0.991	1
298	Neznám problém u zboží.	0	0.988	1
299	Ale jakmile se zapne systém dynamicooling.	1	0.991	0
300	Pojistka dvířek se odemkne hned po ukončení praní (ne jako u jiných praček po minutě a víc).	1	0.989	0
301	U této velikosti vys.	0	0.969	1
302	Poddajná hadice (není antistatická).	1	0.904	0
303	I když vypadá robustně.	1	0.991	0
304	Uvidím jak dlouho mi vydrží.	0	0.991	1
305	Rozstrik na zacatku cyklu.	0	0.994	1
306	Jakmile přidáte teplotu tak se čas praní zvyšuje.	0	0.915	1
307	Umělé konce u šleh.	0	0.992	1
308	Takže po schodech není problém.	0	0.995	1
309	Předchozí nám vydržel cca 5 let.	0	0.990	1
310	Ale na to ho nepoužívám.	1	0.984	0
311	Velmi silné navíjení kabelu.	1	0.997	0
312	Je to velmi kvalitní výrobek; ovšem co je veliká nevýhoda.	0	0.998	1
313	Naštěstí jsem manuálně zručný.	0	0.998	1
314	Žádné rozebírání - stále nedoceněno.	1	0.995	0
315	Také možnost prát všechny filtry ve vodě.	1	0.780	0
316	Sítko nevypadává při vyklepání.	1	0.997	0
317	Není úplně z nejtišších.	0	0.997	1
318	Přidat jednu puličku do dveří.	0	0.960	1
319	Ve spodních policích není vidět.	0	0.709	1
320	Gumová podložka na nádobě na drcení).	1	0.992	0
321	Zvláštní hučení až svištění při ždímání.	0	0.818	1
322	Šňůra se nevysouvá sama.	0	0.993	1
323	Z důvodu instalace až v dubnu do zahradního domku.	1	0.972	0
324	Robustní zařízení vypadá na dlouhou životnost.	1	0.996	0
325	Malé madlo na přenášení.	0	0.995	1
326	Při přenášení se převažuje kupředu.	0	0.984	1
327	Tři náhradní vytírací návleky.	1	0.993	0
328	Denně pijeme různé šťávy z ovoce.	1	0.995	0
329	Naučila nás hospodárněji dávkovat prací prostředek.	1	0.765	0
330	Při větší intenzitě světla vůbec nerozeznáte co je na display zobrazeno!!!!! značný handicap !!!!.	0	0.939	1
331	Do kterého je navíc špatně vidět - už jsme nejednou pustili mlýnek naprázdno.	0	0.527	1
332	Nez spusti vysavac mam diru vyvrtanou do cihel a omítka je na zemi.	0	0.734	1
333	Prádlo je krásně vyprané.	1	0.981	0
334	Kdy je kartáček na nábytek přímo na hubici.	1	0.996	0
335	Při odvápňování (průtok bez kapsle) teče voda mimo šálek.	0	0.980	1
336	Snad se zabehne casem.	0	0.989	1
337	Když si vše nastavíte v aplikaci.	0	0.989	1
338	Stejně jako filtr (jeden z filtrů) - takže po každém vysávání ji vysypu a popř.	1	0.995	0
339	Není určena pro lidi pod 170 cm  :).	0	0.995	1
340	Byla jsem recenzemi varována.	1	0.996	0
341	Což je někdy únavné.	0	0.907	1
342	Kávu si dělám 5x denně.	0	0.996	1
343	Řekne co mu chybí :-).	1	0.966	0
344	Vyšší spotřeba při sušení.	0	0.997	1
345	Kamarádi jej objednali pro známé.	0	0.987	1
346	Krasne vypada a neuveritelne saje.	1	0.996	0
347	Nový zásobník pracího prostředku.	1	0.997	0
348	Někdy nechá menší nerozemletý kousek mrkve.	0	0.996	1
349	Bohužel nejsou vyvrtány a zaslepeny.	0	0.928	1
350	Což moje původní chladnička měla.	0	0.995	1
351	Velmi pěkně vyčistil sedací soupravu.	1	0.996	0
352	Že bude zdárně sloužit.	1	0.990	0
353	Sací výkon s množstvím nasátého odpadu opravdu neklesá.	1	0.952	0
354	I nejmenší otáčky jsou občas dost velké.	0	0.995	1
355	Jak zmiňují i ostatní.	0	0.998	1
356	Že tento vydrží minimálně stejně :).	1	0.992	0
357	Bezpečnostní pojistka proti samovolnému spuštění (třeba dítětem).	1	0.993	0
358	Sice nemá lámací poličku pro vysoké věci.	1	0.995	0
359	Takže při výrobě nápojů mírně protéká.	0	0.996	1
360	Kovový obal není zas tak tenký a myslím že vnitřek spolehlivě zpevní a ochrání proti poškození.	0	0.996	1
361	Namixovat mrkev dá zabrat.	0	0.995	1
362	Zkuste se zeptat po 5 letech :-)).	0	0.888	1
363	Nemá kabel! nejlepší vlastnost tohoto vysavače.	1	0.994	0
364	Zvuk ukončení praní je příliš tichý.	0	0.998	1
365	Víc nepotřebuji našla jsem tam všechny co potřebuji.	0	0.992	1
366	Teď ji pije i manželka :-).	0	0.989	1
367	Jen to nesmí být větší jak 3mm jinak to ty kartáče hrnou před sebou.	1	0.996	0
368	Ja osobne si rad priplatim za kvalitni kavu.	0	0.996	1
369	Pro vyšší lidi je nižší.	0	0.618	1
370	Oproti sáčkovým vysavačům je mnohem méně pohodlné - nádoba se musí vyklopit do popelnice a přitom se hodně práší.	0	0.992	1
371	Než mít ošklivou na kterou se budu muset koukat a nebudou vidět otisky'.	1	0.650	0
372	Ale davame ho na max vykon.	1	0.991	0
373	Možno dokoupit kompatibilní nepřetlaková sítka.	1	0.996	0
374	Pokud ho pošlou :).	1	0.974	0
375	Ale není se potřeba tak moc ohýbat pro vložení a vyjmutí prádla oproti bočnímu plnění.	1	0.898	0
376	Úprava cen při zavření obchodu 2010-2011.	0	0.998	1
377	Nepotřebuji další náčiní na vaření.	1	0.992	0
378	Součástí balení jsou 2 filtry k přípravě 1 nebo 2 káv zároveň.	1	0.952	0
379	Takže zde také nic nepropadá dolů.	1	0.982	0
380	Držák na 12 vajec.	1	0.991	0
381	Koberec již po prvním použití oživl.	1	0.985	0
382	Trošku veliký na naši kuchynskou linku.	0	0.999	1
383	Špatně jdou nastavit nožky.	0	0.997	1
384	Mrazák není samostatně oddělený a tudíž nic nezmrzne.	0	0.995	1
385	Která se při luxování koberce prohýbá.	0	0.840	1
386	Pretože chladnička si sama reguluje mrazenie termostatom na správnu teplotu a v podstate nič viac netreba ani.	0	0.982	1
387	Nachystáte a jdete např.	1	0.994	0
388	Velmi silné navíjení el.	0	0.996	1
389	Spínaná zásuvka na vysavači.	1	0.730	0
390	Nyní dáváme do servisu.	0	0.898	1
391	Ušlehání sněhu trvá třikrát déle.	0	0.997	1
392	K presovači není přibalen tamper.	0	0.901	1
393	Uvidíme ještě co životnost.	1	0.989	0
394	Ale nedostatocny a horsie pochopitelny.	0	0.952	1
395	A to to dost přeháním (poprvé jsem ho chtěl uklidit.	1	0.957	0
396	Políčky jsou malé a dá se s nimi hýbat.	1	0.992	0
397	Který jsem s ním měla.	0	0.992	1
398	Ale musí se do sebe pouze zasunout.	1	0.995	0
399	Krátká sací hadice i teleskopická trubka.	0	0.987	1
400	Zvukový hlídáček dovření dveří.	1	0.985	0
401	Mám ho však krátce.	1	0.974	0
402	Nebo naopak lze přídavné máchání vypnout.	1	0.997	0
403	Naše starší elektrolux byla  rozhodně tižší ale v kuchyni nespíme tak to nevadí.	0	0.986	1
404	Ráda peču a těžko si představuji.	0	0.986	1
405	Nahřívací plocha na šálky.	0	0.998	1
406	Stejně jako ph vody.	1	0.989	0
407	Že pereme v ekologických pracích prostředcích bez parfemace a nepoužíváme aviváž.	1	0.898	0
408	Nemá foukání (ale nikdy jsem to na předch.	0	0.990	1
409	Zůstávala v nich voda a tudíž byly náchylné k vytváření.	1	0.996	0
410	Kovové tělo ponorné části.	1	0.991	0
411	Při ždímání se chvěje půl bytu i když je perfektně vyvážena do bublinky.	0	0.996	1
412	Mám zatím krátkou dobu.	1	0.811	0
413	Bez hrnku zbytečně voda 'cáká' na spodní mřížku.	0	0.986	1
414	Mám kávovar zatím krátce.	0	0.806	1
415	Čekala jsem chuť kávy jako z profi přístroje v kavárně.	0	0.998	1
416	Nemusí se kupovat sáčky.	1	0.988	0
417	Delší záruka na motor.	1	0.997	0
418	Aby pračka doprala (třeba v 7 ráno) a ona tak opravdu skončí.	1	0.990	0
419	Obtížně přestavitelná změna směru otvírání dveří.	0	0.993	1
420	Samozřejmě nemám žádná proti.	0	0.990	1
421	Nemohu říct ani popel max spokojenost vřele doporučuji všem už napohled působí velice dobrým dojmem.	0	0.999	1
422	Zvlněné dekorativní zámkové dlažby špatně sesbírá.	0	0.991	1
423	Přídavné kartáče na podlahy.	1	0.996	0
424	A můžete si zde navolit změnu stupnů (20.	1	0.977	0
425	Takže nejste omezeni délkou kabelu.	1	0.994	0
426	Kabel je dosatečně dlouhý.	1	0.982	0
427	Nic lepšího bych nekoupil.	1	0.981	0
428	Trochu hlučné ale jen chvilku v provozu většinou tak 4krát denně.	1	0.994	0
429	Umývání trysky na mléko.	0	0.668	1
430	Dlouhá šnůra - již konečně není třeba žádný prodlužovák!!!.	1	0.955	0
431	Hučí proud vody při napouštění.	1	0.984	0
432	A o to mi šlo.	1	0.873	0
433	Některá nastavení je možné měnit i v pauze během praní.	1	0.982	0
434	Vleze se tam plný koš prádla.	1	0.993	0
435	Oproti 20 let starému stolnímu šlehači.	0	0.986	1
436	Ani není hladina vidět.	0	0.996	1
437	Zatím jsem na žádnou nepřišla.	1	0.969	0
438	Při větší zátěži se hlučnost zvedne.	1	0.995	0
